시도교육청,교육지원청,학교명,설립구분,1학년,2학년,3학년,4학년,5학년,6학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수,작은학교여부,지역(시),지역(구)
서울특별시교육청,서울특별시강남서초교육지원청,서울일원초등학교,공립,8,8,8,8,9,10,1,0,52,1381,26.6,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울잠원초등학교,공립,12,8,11,10,10,13,0,0,64,1881,29.4,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울청담초등학교,공립,4,4,4,4,3,3,0,0,22,462,21.0,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울포이초등학교,공립,3,4,4,4,4,4,1,0,24,455,19.0,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울학동초등학교,공립,3,3,3,4,4,4,0,0,21,431,20.5,0,서울특별시,강남구
서울특별시교육청,서울특별시강동송파교육지원청,서울가동초등학교,공립,5,5,5,6,6,7,1,0,35,745,21.3,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울가락초등학교,공립,10,9,8,8,8,10,1,0,54,1229,22.8,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울가원초등학교,공립,5,5,4,5,5,4,0,0,28,623,22.3,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울가주초등학교,공립,6,6,6,6,5,7,0,0,36,790,21.9,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울강덕초등학교,공립,8,8,8,8,8,8,1,0,49,1200,24.5,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울강동초등학교,공립,5,4,4,4,4,4,2,0,27,514,19.0,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울강일초등학교,공립,4,4,5,5,5,6,2,0,31,609,19.6,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울거여초등학교,공립,7,6,5,4,5,5,2,0,34,706,20.8,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울거원초등학교,공립,5,4,5,4,4,6,2,0,30,595,19.8,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울고덕초등학교,공립,5,5,4,4,4,4,2,0,28,612,21.9,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울고명초등학교,공립,5,6,6,6,5,6,0,0,34,807,23.7,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울고일초등학교,공립,12,11,11,12,10,11,1,0,68,1900,27.9,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울길동초등학교,공립,4,5,5,6,5,7,2,0,34,679,20.0,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울남천초등학교,공립,2,2,2,3,3,3,2,0,17,277,16.3,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울대명초등학교,공립,5,5,6,5,6,7,1,0,35,743,21.2,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울마천초등학교,공립,6,5,6,5,6,7,2,0,37,707,19.1,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울명덕초등학교,공립,8,9,10,10,10,10,1,0,58,1710,29.5,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울명원초등학교,공립,4,4,5,5,5,7,1,0,31,711,22.9,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울명일초등학교,공립,7,6,8,7,7,8,2,0,45,969,21.5,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울묘곡초등학교,공립,8,7,9,11,11,12,1,0,59,1388,23.5,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울문덕초등학교,공립,4,5,4,4,5,4,1,0,27,516,19.1,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울문정초등학교,공립,5,6,5,4,5,6,2,0,33,663,20.1,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울방산초등학교,공립,5,4,5,4,5,4,0,0,27,611,22.6,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울방이초등학교,공립,5,4,4,4,3,4,2,0,26,524,20.2,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울삼전초등학교,공립,4,4,5,6,5,6,3,0,33,613,18.6,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울상일초등학교,공립,2,1,2,2,2,2,1,0,12,161,13.4,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울석촌초등학교,공립,6,5,5,5,5,6,3,0,35,637,18.2,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울선린초등학교,공립,4,4,4,4,3,4,1,0,24,415,17.3,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울선사초등학교,공립,5,4,4,4,4,6,0,0,27,523,19.4,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울성내초등학교,공립,7,6,6,6,6,6,2,0,39,781,20.0,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울성일초등학교,공립,8,8,7,8,8,8,2,0,49,993,20.3,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울세륜초등학교,공립,3,4,4,5,5,6,2,0,29,603,20.8,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울송전초등학교,공립,5,5,6,6,5,6,0,0,33,761,23.1,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울송파초등학교,공립,4,4,4,4,4,4,1,0,25,520,20.8,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울신가초등학교,공립,5,4,5,5,4,5,1,0,29,596,20.6,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울신명초등학교,공립,4,4,5,4,4,5,1,0,27,404,15.0,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울신암초등학교,공립,6,6,6,5,4,6,2,0,35,672,19.2,0,서울특별시,강동구
서울특별시교육청,서울특별시강동송파교육지원청,서울신천초등학교,공립,4,3,3,4,4,3,2,0,23,413,18.0,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울아주초등학교,공립,3,3,3,3,2,3,0,0,17,360,21.2,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울영풍초등학교,공립,6,5,5,5,4,5,2,0,32,640,20.0,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울오금초등학교,공립,5,5,5,4,5,4,1,0,29,633,21.8,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울오륜초등학교,공립,4,3,3,3,4,5,0,0,22,484,22.0,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울잠동초등학교,공립,5,6,6,5,6,6,0,0,34,823,24.2,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울잠신초등학교,공립,8,8,7,9,9,11,0,0,52,1416,27.2,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울잠실초등학교,공립,6,7,8,7,6,7,1,0,42,920,21.9,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울잠일초등학교,공립,8,9,9,9,10,12,1,0,58,1638,28.2,0,서울특별시,송파구
서울특별시교육청,서울특별시강동송파교육지원청,서울잠전초등학교,공립,4,5,4,3,3,5,2,0,26,477,18.3,0,서울특별시,송파구
